Seed,,,,,,,,
,,3,Rice Seeds,Adds new fertility,Small rice seedlings,,,
,,3,Sugar Beet Seeds,Adds new fertility,A few beet seeds,,,
,,3,Tea seeds,Adds new fertility,Green Tea and Peppermint.,,,
,,3,Vegetable Seeds,Adds new fertility,Various vegetables,,,
,,3,Fruit Seeds,Adds new fertility,Rich in vitamins and tasty.,,,
,,3,Durum wheat seeds,Adds new fertility,Valuable dietary fiber.,,,
,,3,Corn Seed,Adds new fertility,Not only chicken like this.,,,
,,3,Coffee Seed,Adds new fertility,For a fresh roasted aroma.,,,
,,3,Grape Seed,Adds new fertility,The noblest grapes.,,,
,,3,Truffle Seed,Adds new fertility,Finest fungal spores,,,
Resource Refill,,,,,,,,
,,3,Basalt probe,"RS:Granules
RQ:2400
",Reaches even the most inaccessible rock strata.,,,
,,3,Copper probe,,Distinguishes porphyry from copper every time.,,,
,,3,Iron ore probe,,Improved yield through ferrite sensors.,,,
,,3,Coal probe,,Follows the seams all the way down.,,,
,,3,Limestone probe,,"If there's Limestone here, we'll find it.",,,
,,3,Uranium probe,,Analyzes the Uranium content of the rubble.,,,
,,3,Oil probe,,Expert AI for stratigraphy.,,,
,,3,Gold probe,,... does not fall for fool's gold.,,,
,,3,Sand probe,,... for new Sand basins,,,
,,3,Lobster pheromones,,… irresistible to crustaceans.,,,
Duty,,,,,,,,
,,3,Toll ware Fish,,Delicious pangasius!,,,
,,3,Toll ware Building modules,,"Light, robust, universally applicable.",,,
,,3,Toll ware Liquor,,Only for medical reasons.,,,
,,3,Toll ware Tea,,From fair-trade production.,,,
,,3,Toll ware Tools,,A small Allen key is included...,,,
,,3,Toll ware Health food,,Gluten-free goodies.,,,
,,3,Toll ware Communicators,,The latest model!,,,
,,3,Toll ware Wood,,Untreated natural product...,,,
,,3,Toll ware Comfort food,,"Farfalle, rigatoni, tagliatelle? All pasta.",,,
,,3,Toll ware Health drinks,,Gets you fit as a fiddle.,,,
,,3,Toll ware Glass,,Energy efficient triple glazing.,,,
,,3,Toll ware 3D projector,,Resolution: 7680 x 3840 x 640 …,,,
,,3,Toll ware Service Robots,,... can do almost anything.,,,
,,3,Toll ware Convenience Food,,Just 3 minutes in the microwave...,,,
,,3,Customs goods - Plastic products,,Very colorful and keeps forever...,,,
,,3,Toll ware Concrete,,... indispensable on the construction site.,,,
,,3,Toll ware Luxury meals,,Another mint wafer for Monsieur?,,,
,,3,Toll ware Champagne,,Tingles for as long as you drink...,,,
,,3,Toll ware Steel,,Stops any tornado.,,,
,,3,Toll ware Heavy weapons,,"Of course, with official permission...",,,
,,3,Toll ware Jewelery,,"Simple, top-notch, timeless elegance.",,,
,,3,Toll wares Pharmaceuticals,,Drug or placebo?,,,
,,3,Toll ware Functional food,,"Taste... indefinable, but interesting.",,,
,,3,Toll ware Energy drinks,,"Delicious, stimulating rehydration mix.",,,
,,3,Toll ware Fuel,,... puts Planes in the air.,,,
,,3,Toll ware Carbon,,Advanced material - ultra light.,,,
,,3,Toll ware High-tech weapons,,On the cutting edge of Technology...,,,
,,3,Toll ware Immunity Drugs,,The high-tech beverage.,,,
,,3,Toll ware Neuroimplants,,Totally sterile.,,,
,,3,Toll ware Laboratory Instruments,,Hopefully without any dust.,,,
,,3,Toll ware Bionic Suits,,Each one a masterpiece.,,,
Licensing Software,,,,,,,,
,,3,Licensing Software v.1,: 100: 10:00,Ensures a limited supply,,,
,,3,Licensing Software v.2,: 200: 10:00,Downloads the latest Licenses,,,
,,3,Licensing Software v.3,: 500: 15:00,Obtains usage rights for almost everything,,,
,,3,Licensing Software v.4,: 1500: 25:00,Puts half the world under contract,,,
Satellite Uplink Data,,,,,,,,
,,2,Incomplete Satellite Uplink Data,Uncovers 2 islands in this sector.,Allows only partial access.,,,
,,2,Very Old Satellite Uplink Data,Uncovers 5 islands in this sector.,The satellite must be from the early 80s.,,,
,,2,Complete Satellite Uplink Data,Uncovers all islands in this sector.,Allows complete access to a relatively new device.,,,
Public Building Upgrade,,,,,,,,
,All Public Buildings,,,,,,,
,,1,Supply reduction I,: -15%,There's a surplus anyway...,,,
,,1,Supply reduction II,: -25%,The Population will get over it,,,
,,2,Supply reduction III,: -40%,"Less choice, fewer problems!",,,
,,1,Reduced opening hours I,: -15%,Closed on Monday!,,,
,,2,Reduced opening hours II,: -25%,A little hectic for customers.,,,
,,2,Reduced opening hours III,: -40%,Open 12-13 hours,,,
,Activity Buildings,,,,,,,
,,3,Program,: +15%,The evening goes by in a flash,,,
,,3,Playbill,: +25%,All that sounds interesting,,,
,,3,Program schedule,: +40%,Almost too much to choose from!,,,
,Information Buildings,,,,,,,
,,2,Data archive,: +15%,The # 1 information source,,,
,,2,Media archive,: +25%,Images that went around the world,,,
,,3,Comprehensive archive,: +40%,Everything!... And much more!,,,
,Participation Buildings,,,,,,,
,,2,Lectern,: +15%,Everyone gets their say.,,,
,,3,Podium,: +25%,With public appeal.,,,
,,3,Round table,: +40%,"Many voices, one consensus.",,,
Production Building Upgrade,,,,,,,,
,Fishery,,,,,,,
,,1,Pelagic trawl net,: +25%,No Fish can escape!,,,
,,1,Manual net hauling,: -25%,A tug of war with the fish.,,,
,,1,Extra-loud ultrasonic siren,: -25%,Warns whales and dolphins.,,,
,Tea Plantation,,,,,,,
,,1,Large drying cabinet,: +25%,Brings out the finest flavor,,,
,,1,Solar Tea harvesting drone,: -25%,Flies from plant to plant.,,,
,Distillery,,,,,,,
,,1,Solid fuel stills,: +25%,Refills the house bar...,,,
,,1,Hydrostatic pressure boiler,: -25%,Content with lower temperatures.,,,
,,1,Cooling distillation column,: -25%,Separates the booze from the alcohol.,,,
,Tools Workshop,,,,,,,
,,2,Fast finishing,: +25%,Multi armed assembly bots.,,,
,,2,Low-energy assembly laser,: -25%,Precision Material welding,,,
,,2,Environmentally safe lubricant,: -25%,Don't contaminate the groundwater.,,,
,Health Food Factory,,,,,,,
,,2,Natural recipe,: +25%,Like great-grandma used to make!,,,
,,2,Economical Rice cooker,: -25%,Always simmer slowly!,,,
,,2,Natural flavors,: -25%,Made from dried leaf tree bark.,,,
,Electronics Factory,,,,,,,
,,2,Large soldering machine,: +25%,Replaces those little soldering guns,,,
,,2,Energy-saving autoclave,: -25%,Sterilizes delicate components.,,,
,,2,Sterile water production,: -25%,Not a speck of dust can be found here!,,,
,Food Supply Factory,,,,,,,
,,2,Accurate dosing machine,: +25%,MSG - less is more!,,,
,,2,Undiscerning quality assurance,: -25%,You can't taste it anyway.,,,
,,2,Dye-free preparation,: -25%,Not always appetizing.,,,
,Plastics Factory,,,,,,,
,,3,Optimized injection system,: +25%,Works quickly and accurately,,,
,,3,Metalorganic catalysts,: -25%,Start polymerization.,,,
,,3,Recyclable elastomers,: -25%,"Just heat, and voila!",,,
,Sawmill,,,,,,,
,,1,Optimized Timber storage,: +25%,Can store tons of Timber,,,
,,1,Low-noise chainsaw,: -25%,To avoid frightening the wild animals.,,,
