Fertilitiy/Resource,,,,,
,Seed Replica,,,,
,,1,Rice substitute,,Almost the same carbohydrate and protein content.
,,2,Sugar beet replica,,"Synthetic, but usable."
,,1,Tea substitute,,Indistinguishable from the natural product.
,,1,Vegetable replicas,,Even more colorful than the original plants...
,,2,Fruit synthesis,,Immune to worms and insects.
,,2,Grain analog,,Grows practically everywhere.
,,2,Modified Corn,,Very frugal plants
,,2,Seed replica,,"Increased caffeine, less bitterness."
,,2,Synthetic Wine grape seed,,Also thrives under artificial sunlight.
,,2,Artificial Truffle strain,,Only gourmets can taste the difference.
,Black Smoker Chemical,,,,
,,3,Aurogenic Chemicals,,... and down deep: the Gold!
,,3,Uranogenic Chemicals,,The Deposits are far from being exhausted!
,,3,Cuprogenic Chemicals,,Demand for Copper continues!
,,3,Ferrogenic Chemicals,,The seabed is rich in Iron ore!
,,3,Manganogenic Chemicals,,There are many Deposits worth mining under the sea...
,,3,Carbonogenic Chemicals,,Treasures from the bowels of the Earth.
,Resource,,,,
,,3,Basalt Cutter Head 2.0,,"New, improved and 10 times as effective!"
,,3,Copper Drill 2.0,,"New, improved and 10 times as effective!"
,,3,Iron Drill Bit 2.0,,"New, improved and 10 times as effective!"
,,3,Coal Plough 2.0,,"New, improved and 10 times as effective!"
,,3,Limestone Drill Bit 2.0,,"New, improved and 10 times as effective!"
,,3,Uranium Drill Bit 2.0,,"New, improved and 10 times as effective!"
,,3,Oil Drill Head 2.0,,"New, improved and 10 times as effective!"
,,3,Gold Filter 2.0,,"New, improved and 10 times as effective!"
,,3,Sand Filter 2.0,,"New, improved and 10 times as effective!"
,,3,Lobster Farm Baskets 2.0,,"New, improved and 10 times as effective!"
Production Building Upgrade,,,,,
,Basalt Crusher,,,,
,,1,Precision drill heads,: -20%,Reduced excess debris.
,,1,Automatic conveyor,: -20%,Prolonged drilling cycles.
,,2,Maintenance free automatic conveyor,: -30%: -30%,"Runs without a break, 24 / 7"
,,3,Basalt tailing recycling,: -40%: -40%,Everything is recycled.
,Basalt Extraction,,,,
,,1,Refined Basalt screens,: -20%,Increases the amount of Material recovered.
,,1,Improved blasting methodology,: -20%,Gentler Material splitting
,,2,Reinforced Basalt mills,: -30%: -30%,Faster grinding rates.
,,3,Automated cracking procedure,: -40%: -40%,Sifting and sorting machine.
,Coal Mine,,,,
,,1,Reinforced Reisshaken plows,: -20%,Helps shearers work better.
,,1,Emission control,: -50%,Protects against Coal dust.
,,2,More efficient tunnel design,: -100%: -30%,Much better yield.
,,3,Coal tailing recycling,: -100%: -40%,Nothing is lost.
,Iron Ore Mine,,,,
,,1,Ore detector,: -20%,Finds every vein.
,,1,Natural drainage,: -50%,Good for the ground water regime.
,,2,Magnet driven Ore carts,: -100%: -30%,Mining at a new level.
,,3,Iron ore tailing recycling,: -100%: -40%,Don't waste anything!
,Copper Mine,,,,
,,1,Optimized carriers,: -20%,More Copper for less effort.
,,1,Eco-friendly Copper treatment,: -50%,Gentle processing.
,,2,Precision Copper drill bit,: -100%: -30%,Avoids costly dry holes.
,,3,Copper tailing recycling,: -100%: -40%,Don't let things deteriorate!
,Limestone Quarry,,,,
,,1,Computer-based Quarry plan,: -20%,Determines exactly where work needs to be done.
,,1,Explosives free Stone crusher,: -50%,No dynamite required!
,,2,Careful exposure drones,: -100%: -30%,No unnecessary destruction!
,,3,Limestone tailing recycling,: -100%: -40%,All that can still be used!
,Uranium Mine,,,,
,,1,Radiation-proof prospecting electronics,: -20%,Resistant to false measurements.
,,1,Shielded transport shafts,: -30%,Protect the staff...
,,2,Radiation-proof mining robots,: -50%: -30%,Avoids costly outages.
,,3,Uranium tailing recycling,: -70%: -40%,Ensures total utilization.
,Oil Driller,,,,
,,1,Automatic deposits survey,: -20%,Provides better mining planning.
,,1,Low friction flush head,: -30%,Gentle mining.
,,2,Loss-free primary extraction,: -40%: -30%,Prevents minor accidental spills.
,,3,Crude oil sump recycling,: -50%: -40%,Uses all of the Resource.
,,3,Blueprint: Oil Driller Sokow Transnational,Allows the construction of an Oil Driller Sokow Transnational.,Made by Sokow Transnational.
,Oil Rig,,,,
,,1,Offshore deposits survey,: -20%,Reduced drilling failure rate.
,,1,Self-locking pipe connection,: -20%,Stops the flow in case of accidents.
,,2,Failsafe drilling cap,: -30%: -30%,Can absorb large amounts of spillage.
,,3,Blowout preventers,: -40%: -40%,Safety cap for drill holes.
,Sand Extractor,,,,
,,1,Sand grain sorting matrix,: -20%,Separates different grain sizes efficiently.
,,1,River water nutrient enrichment,: -30%,Automated water addition and distribution system.
