Vehicle Item,,,,,
,,,Emergency equipment,,Special foam for complex fires.
,,,Effluent pump,,"Cleans 82,500 liters per minute..."
,,,Motor,,Provides the necessary RPM...
,,,Impact booster,,Increases the V-factor.
,,,Kinetic shield,,Protects against hail and grenades...
,,,Detonator,,And outta here!
,,,Electromagnetic generator,,Do not touch - electrically charged!
,,,Metamaterial,,Is it still Technology or is it now magic?
Warehouse Item,,,,,
,,,Generator,,Provides enough juice...
,,,Filtration plant,,Pore deep cleansing.
,,,Control module,,Monitors all running processes...
,,,Worker drone,,Completes orders without grumbling.
,,,Maintenance unit,,Regular service is worth it.
,,,Fine chemicals,,"Complicated, but effective!"
Resource Replenisher,,,,,
,,,Basalt cutter head,,... with high-performance silicate-sensor.
,,,Coal plow,,Opens up new seams.
,,,Iron drill bit,,... ventures into deeper layers of rock.
,,,Copper drill,,... analyzes potential Porphyry deposits.
,,,Limestone drill bit,,Opens up Calcium carbonate layers.
,,,Sand filter,,... not just for sand castle builders.
,,,Oil drill head,,To get that Black gold flowing again.
,,,Gold filter,,Automated Prospector.
,,,Lobster farm baskets,,Delicacies from coastal waters.
,,,Uranium drill bit,,Gamma-ray spectrometer.
